timestamp,date,time,temp,device_code,serial_number,mode_code
1739302799,2025-02-11,19:39:59,31.6,RC-5+,EFI241107334,TLC30A08B
1739302809,2025-02-11,19:40:09,31.6,RC-5+,EFI241107334,TLC30A08B
1739302819,2025-02-11,19:40:19,31.6,RC-5+,EFI241107334,TLC30A08B
1739302829,2025-02-11,19:40:29,31.7,RC-5+,EFI241107334,TLC30A08B
1739302839,2025-02-11,19:40:39,31.7,RC-5+,EFI241107334,TLC30A08B
1739302849,2025-02-11,19:40:49,31.7,RC-5+,EFI241107334,TLC30A08B
1739302859,2025-02-11,19:40:59,31.7,RC-5+,EFI241107334,TLC30A08B
1739302869,2025-02-11,19:41:09,31.7,RC-5+,EFI241107334,TLC30A08B
1739302879,2025-02-11,19:41:19,31.7,RC-5+,EFI241107334,TLC30A08B
1739302889,2025-02-11,19:41:29,31.7,RC-5+,EFI241107334,TLC30A08B
1739302899,2025-02-11,19:41:39,31.7,RC-5+,EFI241107334,TLC30A08B
1739302909,2025-02-11,19:41:49,31.8,RC-5+,EFI241107334,TLC30A08B
1739302919,2025-02-11,19:41:59,31.8,RC-5+,EFI241107334,TLC30A08B
1739302929,2025-02-11,19:42:09,31.8,RC-5+,EFI241107334,TLC30A08B
1739302939,2025-02-11,19:42:19,31.9,RC-5+,EFI241107334,TLC30A08B
1739302949,2025-02-11,19:42:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739302959,2025-02-11,19:42:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739302969,2025-02-11,19:42:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739302979,2025-02-11,19:42:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739302989,2025-02-11,19:43:09,31.9,RC-5+,EFI241107334,TLC30A08B
1739302999,2025-02-11,19:43:19,31.9,RC-5+,EFI241107334,TLC30A08B
1739303009,2025-02-11,19:43:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739303019,2025-02-11,19:43:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739303029,2025-02-11,19:43:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739303039,2025-02-11,19:43:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739303049,2025-02-11,19:44:09,31.9,RC-5+,EFI241107334,TLC30A08B
1739303059,2025-02-11,19:44:19,31.9,RC-5+,EFI241107334,TLC30A08B
1739303069,2025-02-11,19:44:29,31.9,RC-5+,EFI241107334,TLC30A08B
1739303079,2025-02-11,19:44:39,31.8,RC-5+,EFI241107334,TLC30A08B
1739303089,2025-02-11,19:44:49,31.8,RC-5+,EFI241107334,TLC30A08B
1739303099,2025-02-11,19:44:59,31.8,RC-5+,EFI241107334,TLC30A08B
1739303109,2025-02-11,19:45:09,31.8,RC-5+,EFI241107334,TLC30A08B
1739303119,2025-02-11,19:45:19,31.8,RC-5+,EFI241107334,TLC30A08B
1739303129,2025-02-11,19:45:29,31.8,RC-5+,EFI241107334,TLC30A08B
1739303139,2025-02-11,19:45:39,31.8,RC-5+,EFI241107334,TLC30A08B
1739303149,2025-02-11,19:45:49,31.8,RC-5+,EFI241107334,TLC30A08B
1739303159,2025-02-11,19:45:59,31.8,RC-5+,EFI241107334,TLC30A08B
1739303169,2025-02-11,19:46:09,31.8,RC-5+,EFI241107334,TLC30A08B
1739303179,2025-02-11,19:46:19,31.8,RC-5+,EFI241107334,TLC30A08B
1739303189,2025-02-11,19:46:29,31.8,RC-5+,EFI241107334,TLC30A08B
1739303199,2025-02-11,19:46:39,31.8,RC-5+,EFI241107334,TLC30A08B
1739303209,2025-02-11,19:46:49,31.7,RC-5+,EFI241107334,TLC30A08B
1739303219,2025-02-11,19:46:59,31.7,RC-5+,EFI241107334,TLC30A08B
1739303229,2025-02-11,19:47:09,31.7,RC-5+,EFI241107334,TLC30A08B
1739303239,2025-02-11,19:47:19,31.7,RC-5+,EFI241107334,TLC30A08B
1739303249,2025-02-11,19:47:29,31.7,RC-5+,EFI241107334,TLC30A08B
1739303259,2025-02-11,19:47:39,31.7,RC-5+,EFI241107334,TLC30A08B
1739303269,2025-02-11,19:47:49,31.7,RC-5+,EFI241107334,TLC30A08B
1739303279,2025-02-11,19:47:59,31.7,RC-5+,EFI241107334,TLC30A08B
1739303289,2025-02-11,19:48:09,31.8,RC-5+,EFI241107334,TLC30A08B
1739303299,2025-02-11,19:48:19,31.8,RC-5+,EFI241107334,TLC30A08B
1739303309,2025-02-11,19:48:29,31.8,RC-5+,EFI241107334,TLC30A08B
1739303319,2025-02-11,19:48:39,31.9,RC-5+,EFI241107334,TLC30A08B
1739303329,2025-02-11,19:48:49,31.9,RC-5+,EFI241107334,TLC30A08B
1739303339,2025-02-11,19:48:59,31.9,RC-5+,EFI241107334,TLC30A08B
1739303349,2025-02-11,19:49:09,32.0,RC-5+,EFI241107334,TLC30A08B
1739303359,2025-02-11,19:49:19,32.0,RC-5+,EFI241107334,TLC30A08B
1739303369,2025-02-11,19:49:29,32.0,RC-5+,EFI241107334,TLC30A08B
1739303379,2025-02-11,19:49:39,32.0,RC-5+,EFI241107334,TLC30A08B
1739303389,2025-02-11,19:49:49,32.1,RC-5+,EFI241107334,TLC30A08B
1739303399,2025-02-11,19:49:59,32.1,RC-5+,EFI241107334,TLC30A08B
1739303409,2025-02-11,19:50:09,32.1,RC-5+,EFI241107334,TLC30A08B
